Gender,bodyFrame_Breadth,skin_Nature,skin_Color,weight_Changes,nails_color,teeth_Color,teeth_Shape,recalling_speed,memorizing_speed,sleep_Amount,sleep_Quality,speaking_Amount,speaking_Speed,walking_Speed,bowel_Freq,retainingFriends_quality,dreams_Amount,voice_clear,eye_Color,healthproblem_in_temp,hair_Growth,hair_Type,hair_Nature2,appetite_Amount,appetite_Frequency,bladder_Frequency,perspiration_Amount,stool_Consistency,mental_Power,physical_Power,Anger_Freq,Irritability_speed,speech_Argumentative,class
Male,Thin/Narrow,Dry,Whitish,Gainandloseeasily,Pink,MilkyWhite,Regular,Moderately,Moderately,Medium,Sound,Moderate,Medium,Quick/Fast/Brisk,Regular,Medium,Low,Clear,DarkBrown,Warm,Moderate,Thin,Non_Falling,Low,Regular,Regular,Medium,Medium,Grade1,Grade2,Good,Quickly,Non_Argumentative,Vata
Male,Broad,Normal,Whitish,Gainandloseeasily,Reddish,MilkyWhite,Regular,Moderately,Moderately,Medium,Deep,Less,Medium,Medium,Regular,Medium,Medium,Clear,DarkBrown,None,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Medium,Medium,Grade2,Grade3,Poor,Slowly,Non_Argumentative,Kapha
Male,Thin/Narrow,Dry,Whitish,Difficultyingaining,Pink,Yellowish,Irregular,Slowly,Moderately,High,Sound,Moderate,Quick,Quick/Fast/Brisk,Irregular,Medium,Low,Non_Clear,LightBrown,Cold,Moderate,Thin,Falling,Low,Irregular,Regular,Medium,Hard,Grade1,Grade2,Poor,Moderately,Non_Argumentative,Vata
Male,Thin/Narrow,Dry,FairPaleYellow,Difficultyingaining,Pink,Dull/Blackish,Regular,Variably,Quickly,High,Sound,Excessive,Quick,Quick/Fast/Brisk,Regular,Poor,High,Clear,DarkBrown,None,Scanty,Thin,Falling,Medium,Irregular,Regular,Medium,Hard,Grade1,Grade1,Medium,Quickly,Non_Argumentative,Vata
Male,Broad,Normal,Dark,Gaineasilyandlosewithdifficulty,Pink,MilkyWhite,Regular,Moderately,Slowly,Medium,Sound,Less,Slow,Medium,Regular,Good,Low,Non_Clear,Black,None,Moderate,Thin,Falling,Low,Regular,Regular,Medium,Medium,Grade2,Grade3,Good,Moderately,Non_Argumentative,Kapha
Male,Broad,Oily,Whitish,Gaineasilyandlosewithdifficulty,Pink,Yellowish,Regular,Moderately,Moderately,Medium,Shallow,Moderate,Medium,Quick/Fast/Brisk,Irregular,Medium,Low,Clear,LightBrown,Warm,Moderate,Thin,Falling,High,Regular,Regular,High,Medium,Grade2,Grade2,Poor,Quickly,Non_Argumentative,Pitta
Male,Broad,Normal,Dark,Gaineasilyandlosewithdifficulty,Reddish,MilkyWhite,Regular,Quickly,Moderately,High,Sound,Moderate,Medium,Slow,Regular,Good,Medium,Clear,Black,None,Dense,Thick,Falling,Medium,Regular,Regular,Medium,Medium,Grade3,Grade2,Medium,Slowly,Non_Argumentative,Kapha
Male,Medium,Oily,FairReddish,Gainandloseeasily,Reddish,MilkyWhite,Regular,Moderately,Moderately,Low,Shallow,Moderate,Quick,Quick/Fast/Brisk,Regular,Medium,Low,Clear,LightBrown,Cold,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade2,Grade3,Good,Quickly,Argumentative,Pitta
Male,Broad,Normal,Whitish,Gaineasilyandlosewithdifficulty,Pink,Yellowish,Regular,Moderately,Moderately,High,Deep,Less,Medium,Medium,Regular,Medium,Medium,Non_Clear,DarkBrown,None,Dense,Thick,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade3,Grade3,Medium,Slowly,Non_Argumentative,Kapha
Male,Broad,Normal,Dark,Gaineasilyandlosewithdifficulty,PaleYellow,MilkyWhite,Regular,Moderately,Moderately,Medium,Deep,Less,Medium,Medium,Regular,Medium,Medium,Clear,DarkBrown,Cold,Moderate,Thick,Non_Falling,Medium,Regular,Regular,Medium,Medium,Grade2,Grade3,Good,Slowly,Non_Argumentative,Kapha
